,Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change,year dec. quarter,total_covid_cases,population,new_cases,total_covid_per_capita_1000,new_cases_per_capita_1000
1466,"Tulsa, OK",46140,2020,1,211.03,8.919999999999987,4.413438226708221,2020.0,151,998626,151.0,0.1512077594615001,0.1512077594615001
1467,"Tulsa, OK",46140,2020,2,212.82,9.659999999999997,4.75487300649734,2020.25,4295,998626,4144.0,4.300909449583728,4.149701690122228
1468,"Tulsa, OK",46140,2020,3,216.53,9.400000000000006,4.5382127166513815,2020.5,24050,998626,19755.0,24.08309016588793,19.782180716304204
1469,"Tulsa, OK",46140,2020,4,220.81,11.03,5.257889217275241,2020.75,70100,998626,46050.0,70.1964499221931,46.113359756305165
1470,"Tuscaloosa, AL",46220,2020,1,207.68,9.560000000000002,4.825358368665456,2020.0,37,252047,37.0,0.1467980178300079,0.1467980178300079
1471,"Tuscaloosa, AL",46220,2020,2,212.58,11.850000000000025,5.9034523987445935,2020.25,2645,252047,2608.0,10.494074517847862,10.347276500017854
1472,"Tuscaloosa, AL",46220,2020,3,214.32,13.379999999999995,6.658704090773362,2020.5,10660,252047,8015.0,42.2936991910239,31.799624673176034
1473,"Tuscaloosa, AL",46220,2020,4,216.93,14.629999999999995,7.231833910034599,2020.75,22314,252047,11654.0,88.53110729348099,46.23740810245708
1474,"Twin Falls, ID",46300,2020,1,251.44,20.22999999999999,8.749621556161062,2020.0,8,111290,8.0,0.07188426633120676,0.07188426633120676
1475,"Twin Falls, ID",46300,2020,2,255.42,16.95999999999998,7.112303950348058,2020.25,838,111290,830.0,7.5298768981939075,7.457992631862701
1476,"Twin Falls, ID",46300,2020,3,262.6,20.56000000000003,8.494463725004145,2020.5,3175,111290,2337.0,28.52906820019768,20.999191302003773
1477,"Twin Falls, ID",46300,2020,4,274.41,28.900000000000038,11.771414606329696,2020.75,10163,111290,6988.0,91.31997484050677,62.790906640309096
1478,"Tyler, TX",46340,2020,1,224.52,12.689999999999998,5.99065288202804,2020.0,32,232751,32.0,0.13748598287440225,0.13748598287440225
1479,"Tyler, TX",46340,2020,2,225.98,10.22,4.736744530960326,2020.25,619,232751,587.0,2.6594944812267185,2.5220084983523163
1480,"Tyler, TX",46340,2020,3,231.32,13.099999999999994,6.003116121345429,2020.5,4826,232751,4207.0,20.73460479224579,18.07511031101907
1481,"Tyler, TX",46340,2020,4,237.07,14.389999999999986,6.462187892940537,2020.75,12844,232751,8018.0,55.18343637621321,34.44883158396742
1482,"Urban Honolulu, HI",46520,2020,1,250.94,2.319999999999993,0.933150993484029,2020.0,157,974563,157.0,0.16109784590631904,0.16109784590631904
1483,"Urban Honolulu, HI",46520,2020,2,251.91,4.289999999999992,1.7324933365640869,2020.25,652,974563,495.0,0.6690178059294268,0.5079199600231078
